@relation ucs

@attribute ucslevel numeric
@attribute biddingday numeric
@attribute ucsbid numeric
@attribute class {too_low,low,good,high,too_high}

@data
0.59049,31,0.07851,low
1,32,0.158615,too_low
0.478297,33,0,low
0.729,34,0.104335,low
0.9,35,0.139686,too_low
0.6561,36,0.079187,low
1,37,0.179781,too_low
0.478297,38,0,low
1,39,0.19964,too_low
0.6561,40,0.086889,low
1,41,0.188184,too_low
1,42,0.156549,too_low
0.9,43,0.134538,too_low
0.531441,44,0.053481,low
1,45,0.194923,too_low
0.6561,46,0.07652,low
1,47,0.197503,too_low
0.478297,48,0,low
0.729,49,0.111946,low
0.729,50,0.094787,low
1,51,0.176512,too_low
1,52,0.176512,too_low
0.531441,53,0.073969,low
0.6561,54,0.07477,low
0.6561,55,0.07477,low
0.531441,0,0,low
0.9,1,0.183908,too_low
0.81,2,0.109645,too_low
1,3,0.186804,too_low
0.478297,4,0,low
1,5,0.199975,too_low
0.59049,6,0.083097,low
1,7,0.212339,too_low
0.59049,8,0.079651,low
0.9,9,0.177593,too_low
0.9,10,0.149673,too_low
0.729,11,0.112561,low
0.59049,12,0.081008,low
0.9,13,0.176857,too_low
0.478297,14,0,low
0.9,15,0.168753,too_low
0.478297,16,0,low
0.6561,17,0.096579,low
0.81,18,0.145306,too_low
0.729,19,0.102606,low
0.729,20,0.119864,low
0.9,21,0.150838,too_low
0.478297,22,0,low
0.729,23,0.100544,low
1,24,0.173508,too_low
0.729,25,0.08008,low
0.9,26,0.151474,too_low
0.9,27,0.151692,too_low
0.9,28,0.164391,too_low
0.81,29,0.13917,too_low
1,30,0.174007,too_low
0.531441,31,0.0768,low
1,32,0.174668,too_low
0.531441,33,0.061318,low
1,34,0.186849,too_low
0.729,35,0.113533,low
0.9,36,0.145852,too_low
0.6561,37,0.104943,low
1,38,0.172656,too_low
0.6561,39,0.104599,low
1,40,0.199681,too_low
0.9,41,0.168273,too_low
0.6561,42,0.07455,low
0.9,43,0.16193,too_low
1,44,0.172405,too_low
0.6561,45,0.096429,low
1,46,0.187731,too_low
0.729,47,0.109994,low
0.9,48,0.164349,too_low
0.59049,49,0.081609,low
0.9,50,0.143955,too_low
0.9,51,0.143955,too_low
0.729,52,0.103188,low
0.729,53,0.103188,low
0.729,54,0.103188,low
0.729,55,0.103188,low
0.729,56,0.103188,low
0.729,57,0.103188,low
0.729,58,0.103188,low
0.729,59,0.103188,low
0.478297,0,0,low
0.81,1,0.144123,too_low
0.9,2,0.157464,too_low
0.81,3,0.151132,too_low
0.81,4,0.129065,too_low
0.478297,5,0,low
0.478297,0,0,low
1,1,0.232833,too_low
0.6561,2,0.076659,low
0.81,3,0.143665,too_low
0.729,4,0.115743,low
0.59049,5,0.07984,low
1,6,0.199709,too_low
0.531441,7,0.061024,low
1,8,0.170748,too_low
0.6561,9,0.096575,low
1,10,0.168603,too_low
0.478297,11,0,low
0.9,12,0.164759,too_low
0.478297,13,0,low
0.81,14,0.128285,too_low
0.81,15,0.13936,too_low
0.729,16,0.089007,low
0.478297,17,0,low
0.9,18,0.162317,too_low
0.6561,19,0.086794,low
0.9,20,0.179376,too_low
0.81,21,0.122451,too_low
0.478297,22,0,low
0.9,23,0.172019,too_low
0.81,24,0.117425,too_low
0.9,25,0.154633,too_low
1,26,0.182339,too_low
0.81,27,0.140217,too_low
0.9,28,0.147941,too_low
0.6561,29,0.093177,low
0.9,30,0.171575,too_low
0.9,31,0.1463,too_low
0.478297,32,0,low
1,33,0.173468,too_low
0.81,34,0.11408,too_low
0.59049,35,0.06394,low
0.9,36,0.172434,too_low
0.81,37,0.122341,too_low
0.9,38,0.14338,too_low
0.9,39,0.127584,too_low
0.531441,40,0.060671,low
1,41,0.219957,too_low
0.6561,42,0.085302,low
0.6561,43,0.079198,low
0.729,44,0.109064,low
1,45,0.2061,too_low
0.81,46,0.104571,too_low
0.478297,47,0,low
0.478297,0,0,low
0.81,1,0.146537,too_low
0.729,2,0.094356,low
1,3,0.207622,too_low
0.478297,4,0,low
0.6561,5,0.088714,low
0.6561,6,0.085672,low
0.9,7,0.141977,too_low
0.729,8,0.114816,low
0.6561,9,0.096916,low
1,10,0.195474,too_low
0.59049,11,0.073111,low
1,12,0.184697,too_low
0.59049,13,0.074278,low
0.729,14,0.123709,low
0.9,15,0.157026,too_low
0.59049,16,0.066225,low
0.9,17,0.163269,too_low
0.9,18,0.150683,too_low
0.478297,19,0,low
1,20,0.16857,too_low
0.59049,21,0.074352,low
0.729,22,0.096376,low
0.6561,23,0.089463,low
0.6561,24,0.092983,low
0.9,25,0.155227,too_low
1,26,0.161663,too_low
0.531441,27,0.057341,low
1,28,0.205829,too_low
0.478297,29,0,low
1,30,0.191495,too_low
0.531441,31,0.060656,low
0.81,32,0.133022,too_low
0.9,33,0.157231,too_low
0.81,34,0.106669,too_low
0.729,35,0.113684,low
0.81,36,0.132443,too_low
0.6561,37,0.082848,low
0.531441,38,0.077185,low
0.81,39,0.125756,too_low
0.6561,40,0.076529,low
1,41,0.176614,too_low
0.531441,42,0.054548,low
1,43,0.186335,too_low
1,44,0.186335,too_low
0.531441,45,0.060534,low
