09/12 16:15:20 INFO agentware.SimClient|next simulation starts in 39 seconds
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdNetworkReport AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=low, gender=female, publisher=amazon, device=mobile, adType=video, campaignId=1784504490][bidCount=261, winCount=261, cost=6.52975960417413] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=low, gender=female, publisher=ask, device=pc, adType=text, campaignId=1784504490][bidCount=83, winCount=83, cost=2.0761983838960796] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=medium, gender=female, publisher=amazon, device=mobile, adType=text, campaignId=1784504490][bidCount=120, winCount=120, cost=2.6348694378239412] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=low, gender=female, publisher=amazon, device=mobile, adType=text, campaignId=1784504490][bidCount=200, winCount=200, cost=4.638124391518401] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=low, gender=female, publisher=sears, device=pc, adType=text, campaignId=1784504490][bidCount=21, winCount=21, cost=0.4516033640088306] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=low, gender=female, publisher=webmd, device=pc, adType=text, campaignId=1784504490][bidCount=46, winCount=46, cost=1.5368757999567053] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=low, gender=female, publisher=nyt, device=mobile, adType=video, campaignId=1784504490][bidCount=52, winCount=52, cost=1.6648102341165287] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=low, gender=female, publisher=amazon, device=mobile, adType=text, campaignId=1784504490][bidCount=174, winCount=174, cost=4.616448074994161] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=medium, gender=female, publisher=webmd, device=mobile, adType=text, campaignId=1784504490][bidCount=33, winCount=33, cost=0.5941522374460589] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=low, gender=female, publisher=fox, device=pc, adType=text, campaignId=1784504490][bidCount=53, winCount=53, cost=1.0682731006026123] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=low, gender=female, publisher=ask, device=pc, adType=video, campaignId=1784504490][bidCount=97, winCount=97, cost=2.708484079686123] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=medium, gender=female, publisher=amazon, device=mobile, adType=video, campaignId=1784504490][bidCount=106, winCount=106, cost=2.8000474455630986] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=medium, gender=female, publisher=webmd, device=mobile, adType=video, campaignId=1784504490][bidCount=21, winCount=21, cost=0.5810840896556594] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=low, gender=female, publisher=fox, device=pc, adType=text, campaignId=1784504490][bidCount=29, winCount=29, cost=0.5202026843212442] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=low, gender=female, publisher=ask, device=mobile, adType=text, campaignId=1784504490][bidCount=72, winCount=72, cost=1.6595939802498887] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=low, gender=female, publisher=sears, device=mobile, adType=video, campaignId=1784504490][bidCount=26, winCount=26, cost=0.5551115515068858] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=low, gender=female, publisher=nyt, device=mobile, adType=text, campaignId=1784504490][bidCount=35, winCount=35, cost=0.5745288714313656] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=medium, gender=female, publisher=ask, device=mobile, adType=text, campaignId=1784504490][bidCount=34, winCount=34, cost=0.8548231740077311] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=low, gender=female, publisher=fox, device=pc, adType=text, campaignId=1784504490][bidCount=45, winCount=45, cost=1.0547661236474115] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=medium, gender=female, publisher=sears, device=mobile, adType=text, campaignId=1784504490][bidCount=13, winCount=13, cost=0.2864224737305412] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=medium, gender=female, publisher=ask, device=mobile, adType=video, campaignId=1784504490][bidCount=40, winCount=40, cost=1.3097831623773846] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=low, gender=female, publisher=webmd, device=mobile, adType=text, campaignId=1784504490][bidCount=27, winCount=27, cost=0.70406364949071] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=medium, gender=female, publisher=fox, device=pc, adType=text, campaignId=1784504490][bidCount=27, winCount=27, cost=0.7332480944719756] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=low, gender=female, publisher=webmd, device=mobile, adType=text, campaignId=1784504490][bidCount=40, winCount=40, cost=0.9573564583768082] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=low, gender=female, publisher=nyt, device=mobile, adType=video, campaignId=1784504490][bidCount=49, winCount=49, cost=1.5393974553586824] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=medium, gender=female, publisher=fox, device=mobile, adType=text, campaignId=1784504490][bidCount=3, winCount=3, cost=0.09281957184754658] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=medium, gender=female, publisher=nyt, device=mobile, adType=video, campaignId=1784504490][bidCount=29, winCount=29, cost=0.6960841054103544] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=low, gender=female, publisher=sears, device=pc, adType=video, campaignId=1784504490][bidCount=20, winCount=20, cost=0.5038865931091525] AdNetworkReportEntry AdNetworkKey [age=Age_25_34, income=medium, gender=female, publisher=nyt, device=mobile, adType=video, campaignId=1784504490][bidCount=21, winCount=21, cost=0.594527826787057] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=medium, gender=female, publisher=ask, device=mobile, adType=text, campaignId=1784504490][bidCount=11, winCount=11, cost=0.27997667339201987] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=medium, gender=female, publisher=amazon, device=mobile, adType=text, campaignId=1784504490][bidCount=20, winCount=20, cost=0.4078249735353839] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=medium, gender=female, publisher=fox, device=mobile, adType=text, campaignId=1784504490][bidCount=25, winCount=25, cost=0.6322103456495869] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=medium, gender=female, publisher=nyt, device=pc, adType=video, campaignId=1784504490][bidCount=9, winCount=9, cost=0.11510564713497629] AdNetworkReportEntry AdNetworkKey [age=Age_35_44, income=medium, gender=female, publisher=sears, device=pc, adType=video, campaignId=1784504490][bidCount=10, winCount=10, cost=0.18225205710777959] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=medium, gender=female, publisher=webmd, device=mobile, adType=video, campaignId=1784504490][bidCount=7, winCount=7, cost=0.21019911769859723] AdNetworkReportEntry AdNetworkKey [age=Age_18_24, income=medium, gender=female, publisher=sears, device=mobile, adType=text, campaignId=1784504490][bidCount=1, winCount=1, cost=4.9E-324])]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[47,228206,false,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport CampaignReportEntry [tgt imps=4954.346797584841, ntg imps=0.0, cost=0.046364914834085356])]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=48, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.2836522487920408, campaignId=1832097530, winner=, costMillis=0]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[1784828609,36712,50,59,[YOUNG],2.6517177117142263,1.8127867521515144,48,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[11.193264]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: nyt popularity: 1164 video: 548 text: 617) (publisher: webmd popularity: 972 video: 276 text: 697) (publisher: fox popularity: 1199 video: 448 text: 752) (publisher: amazon popularity: 5074 video: 1655 text: 3420) (publisher: ask popularity: 2034 video: 715 text: 1320) (publisher: sears popularity: 660 video: 222 text: 439))]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[48,218349,false,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport CampaignReportEntry [tgt imps=4954.346797584841, ntg imps=0.0, cost=0.046364914834085356])]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=49, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.2836522487920408, campaignId=1784828609, winner=, costMillis=0]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[950270312,1939,51,53,[MALE, OLD, HIGH_INCOME],2.872498589741923,1.8469496762515727,49,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[11.193264]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: amazon popularity: 5165 video: 1689 text: 3477) (publisher: fox popularity: 1188 video: 488 text: 701) (publisher: ask popularity: 2016 video: 690 text: 1327) (publisher: webmd popularity: 947 video: 264 text: 684) (publisher: nyt popularity: 1168 video: 552 text: 617) (publisher: sears popularity: 611 video: 234 text: 378))]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[49,208502,false,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport CampaignReportEntry [tgt imps=4954.346797584841, ntg imps=0.0, cost=0.046364914834085356])]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=50, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.2836522487920408, campaignId=950270312, winner=, costMillis=0]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[11.193264]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: ask popularity: 2028 video: 679 text: 1350) (publisher: amazon popularity: 5133 video: 1715 text: 3419) (publisher: nyt popularity: 1199 video: 559 text: 641) (publisher: fox popularity: 1192 video: 458 text: 735) (publisher: webmd popularity: 951 video: 246 text: 706) (publisher: sears popularity: 646 video: 223 text: 424))]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[50,198609,false,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport CampaignReportEntry [tgt imps=4954.346797584841, ntg imps=0.0, cost=0.046364914834085356])]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=51, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[582257441,2517,53,55,[LOW_INCOME, OLD],2.943173243936429,1.7648972871120174,51,[]]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: amazon popularity: 5093 video: 1659 text: 3435) (publisher: ask popularity: 2010 video: 691 text: 1320) (publisher: sears popularity: 598 video: 253 text: 346) (publisher: fox popularity: 1260 video: 469 text: 792) (publisher: nyt popularity: 1174 video: 552 text: 623) (publisher: webmd popularity: 963 video: 287 text: 677))]
09/12 16:27:40 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[51,188720,false,[]]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=52, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=582257441, winner=, costMillis=0]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[659837006,11472,54,58,[YOUNG],2.024307015464057,2.3600655981442995,52,[]]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: ask popularity: 1987 video: 648 text: 1340) (publisher: nyt popularity: 1208 video: 552 text: 657) (publisher: amazon popularity: 5122 video: 1716 text: 3407) (publisher: sears popularity: 601 video: 233 text: 369) (publisher: webmd popularity: 976 video: 233 text: 744) (publisher: fox popularity: 1242 video: 483 text: 760))]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[52,178849,false,[]]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=53, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=659837006, winner=, costMillis=0]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[653369994,1240,55,57,[MALE, HIGH_INCOME, YOUNG],2.6582520086746353,1.9850484852413248,53,[]]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: amazon popularity: 5077 video: 1706 text: 3372) (publisher: webmd popularity: 989 video: 263 text: 727) (publisher: fox popularity: 1219 video: 478 text: 742) (publisher: ask popularity: 1952 video: 681 text: 1272) (publisher: nyt popularity: 1259 video: 590 text: 670) (publisher: sears popularity: 595 video: 233 text: 363))]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[53,169006,false,[]]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=54, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=653369994, winner=, costMillis=0]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: amazon popularity: 5078 video: 1685 text: 3394) (publisher: webmd popularity: 1009 video: 274 text: 736) (publisher: nyt popularity: 1192 video: 565 text: 628) (publisher: ask popularity: 1988 video: 703 text: 1286) (publisher: sears popularity: 640 video: 263 text: 378) (publisher: fox popularity: 1188 video: 449 text: 740))]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[54,159099,false,[]]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=55, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[552825154,4406,57,59,[MALE, LOW_INCOME, YOUNG],2.4173813217698497,1.9860448320536084,55,[]]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: amazon popularity: 5136 video: 1699 text: 3438) (publisher: fox popularity: 1240 video: 459 text: 782) (publisher: sears popularity: 675 video: 238 text: 438) (publisher: ask popularity: 1958 video: 673 text: 1286) (publisher: webmd popularity: 957 video: 245 text: 713) (publisher: nyt popularity: 1210 video: 560 text: 651))]
09/12 16:27:41 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[55,149263,false,[]]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=56, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=552825154, winner=, costMillis=0]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: webmd popularity: 991 video: 281 text: 711) (publisher: nyt popularity: 1213 video: 562 text: 652) (publisher: amazon popularity: 5090 video: 1705 text: 3386) (publisher: ask popularity: 1998 video: 695 text: 1304) (publisher: fox popularity: 1203 video: 456 text: 748) (publisher: sears popularity: 614 video: 222 text: 393))]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[56,139347,false,[]]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=57, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: webmd popularity: 991 video: 269 text: 723) (publisher: amazon popularity: 5113 video: 1672 text: 3442) (publisher: fox popularity: 1184 video: 468 text: 717) (publisher: ask popularity: 1960 video: 677 text: 1284) (publisher: nyt popularity: 1240 video: 573 text: 668) (publisher: sears popularity: 655 video: 250 text: 406))]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[57,129457,false,[]]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=58, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: ask popularity: 1992 video: 672 text: 1321) (publisher: amazon popularity: 5134 video: 1703 text: 3432) (publisher: fox popularity: 1226 video: 464 text: 763) (publisher: nyt popularity: 1168 video: 537 text: 632) (publisher: webmd popularity: 976 video: 233 text: 744) (publisher: sears popularity: 642 video: 241 text: 402))]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[58,119545,false,[]]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=59, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: amazon popularity: 5229 video: 1736 text: 3494) (publisher: ask popularity: 1986 video: 670 text: 1317) (publisher: nyt popularity: 1180 video: 541 text: 640) (publisher: sears popularity: 610 video: 226 text: 385) (publisher: fox popularity: 1209 video: 488 text: 722) (publisher: webmd popularity: 932 video: 254 text: 679))]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[59,109632,false,[]]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=60, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:42 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=61, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=62, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=63, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=64, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=65, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=66, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=67, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:43 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=68, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:44 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
09/12 16:27:44 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=69, serviceLevel=0.47829690000000014, price=0.0, qualityScore=1.1139635148645664, campaignId=0, winner=NONE, costMillis=0]]
09/12 16:27:44 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[13.093855]]
09/12 16:27:44 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: ask popularity: 2045 video: 683 text: 1363) (publisher: amazon popularity: 5047 video: 1686 text: 3362) (publisher: webmd popularity: 993 video: 262 text: 732) (publisher: nyt popularity: 1214 video: 599 text: 616) (publisher: fox popularity: 1179 video: 454 text: 726) (publisher: sears popularity: 640 video: 226 text: 415))]
09/12 16:27:44 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[60,102752,true,[]]]
